recall,wrecall,precision,wprecision,pred_node_count,pred_nb_node_count,pred_formula_count,pred_edge_count
0.90000004,0.99392986,0.0061934255,0.004260394,2978,2108,2099,31762
0.74341196,0.74818635,0.18912639,0.19679283,3070,2733,2152,25320
0.5983263,0.8018783,0.029768901,0.036635697,1390,976,2553,26158
0.8851352,0.9170067,0.13870615,0.19118609,2990,1910,1824,20154
0.66014236,0.81839323,0.1290578,0.08106308,2800,2502,1263,18574
0.5962963,0.7613696,0.040719196,0.03616859,2502,1768,1891,26432
0.63917524,0.7276414,0.06681035,0.054715246,1417,1092,928,12760
0.75000006,0.9243416,0.18532337,0.20716074,806,521,804,10340
0.53999996,0.87252283,0.027941177,0.024036031,566,200,680,8664
0.9016393,0.9829378,0.010093167,0.011573344,22158,18680,3864,236426
0.80225986,0.9673442,0.18867925,0.1578076,317,159,371,2576
0.680916,0.83251536,0.14669926,0.1290872,2900,2179,1227,33572
0.8157895,0.9589735,0.061923586,0.04522575,3754,2572,1518,26450
0.8,0.99244714,0.0027266531,0.0019293063,3632,2759,1467,28070
0.85,0.99597883,0.091787435,0.10722348,210,131,207,1256
0.9433962,0.99856806,0.07128713,0.08784623,375,295,505,3228
0.7962963,0.90973675,0.034539472,0.032652915,947,511,608,8520
0.79742765,0.9687568,0.10108303,0.20261577,467,233,1385,7910
0.47619048,0.9548253,0.06306306,0.066917665,73,48,111,496
0.7027027,0.98203456,0.25396827,0.2794367,113,42,126,792
0.61943984,0.6820521,0.19890511,0.27213028,1203,918,548,7344
0.5,0.8964853,0.042857144,0.037285905,34,20,70,154
0.8536585,0.9770138,0.2631579,0.28658175,72,20,95,492
0.7910448,0.89692515,0.028810408,0.025522243,969,542,1076,7096
0.7436823,0.83505154,0.1241535,0.09188253,348,205,443,1692
0.7236842,0.9356654,0.039199334,0.02722945,1608,639,1199,13456
0.67391306,0.8491471,0.06746032,0.06903206,107,79,252,768
0.787234,0.93712515,0.031782065,0.025612315,2349,1337,2643,18220
0.9053255,0.91000736,0.10895523,0.13353895,515,302,670,4270
0.17948718,0.15586366,0.036363635,0.011827057,219,35,110,1598
0.61290324,0.96219224,0.14782608,0.15148863,101,38,115,744
0.5826446,0.89382327,0.038258575,0.008545071,2659,526,1516,22552
0.8881119,0.98777175,0.04806313,0.04974921,1438,1011,1394,10864
0.6296296,0.8475361,0.10270271,0.07560753,254,84,370,2006
0.42,0.8477738,0.039215688,0.024162522,90,40,204,626
0.7241379,0.81976664,0.04366812,0.05313418,140,54,229,970
0.962963,0.999311,0.15568863,0.1758328,155,67,167,1134
0.6875,0.9966378,0.11363637,0.13034964,21,11,44,70
0.73333335,0.98774695,0.041516244,0.02144627,850,645,554,4858
0.8535714,0.9585476,0.063285835,0.047435902,1926,1610,2386,14374
0.8717949,0.99269736,0.18803419,0.2152561,66,28,117,468
0.71428573,0.8784403,0.025845865,0.015077727,2054,1293,2128,16846
0.7894737,0.9074632,0.053892218,0.030089505,212,98,167,1820
0.6984127,0.8761319,0.041538462,0.026089111,1901,518,650,12364
0.75714284,0.9906846,0.019385027,0.0110918,1581,1058,1496,11360
0.82300884,0.975842,0.0124968765,0.008425672,3296,1831,4001,28920
0.92537314,0.99818397,0.05203252,0.04294939,674,218,615,6044
0.74752474,0.9860139,0.07786885,0.060459718,482,209,488,2736
0.85792345,0.97247213,0.16422948,0.11423002,2673,659,889,21512
0.4821192,0.44368505,0.09134108,0.04983294,5153,1777,1894,35636
0.902439,0.9871404,0.09387755,0.08701338,126,85,245,1220
1.0,0.9999999,0.031358887,0.040952325,371,106,287,3036
0.6111111,0.94385594,0.07462686,0.08478959,297,121,268,2484
1.0,1.0000001,0.04225352,0.028150482,36,16,71,168
0.84615386,0.99931955,0.056737587,0.056057543,55,37,141,330
0.7692308,0.94942087,0.09497207,0.11975359,152,72,179,1120
0.85714287,0.9890903,0.10240963,0.15911937,180,74,166,1442
0.82222223,0.9872779,0.10900474,0.10987562,380,199,211,2310
0.8333334,0.99563086,0.058536585,0.04965847,139,82,205,1352
0.8000001,0.9974255,0.036764707,0.026045393,280,144,408,3150
0.7927928,0.7708721,0.02445194,0.017069602,976,573,1186,10614
0.6764706,0.9842397,0.077419356,0.0866998,219,129,310,1854
0.90909094,0.99973994,0.05882353,0.03688781,66,27,85,468
0.85483867,0.9855813,0.122047246,0.1734207,243,136,254,1956
0.9677419,0.9997351,0.1882353,0.19334726,66,22,85,468
0.920635,0.992627,0.17346938,0.20058037,229,84,196,1894
0.80597013,0.9821714,0.15714286,0.17084129,135,80,210,1050
0.83278686,0.9707334,0.13899139,0.098680295,1643,1387,813,9466
0.7763158,0.976517,0.20858896,0.21435815,97,46,163,728
0.8000001,0.98003185,0.034591194,0.042741835,322,154,318,2908
0.796875,0.8952396,0.064327486,0.059453253,861,451,855,5060
0.73333335,0.97207,0.11794872,0.17218968,197,72,195,1516
0.82515335,0.9609968,0.2089041,0.17452483,721,435,876,4840
